Organization,AUM (USD),Agriculture Focus,Alignment with Saudi Vision 2030,Aquaculture Focus,Category,Check Size Max USD,Check Size Min USD,Co-Investment Potential,Confidence,Contact Name,Decision Maker LinkedIn URL,Decision Maker Name,Decision Maker Title,ESG/Impact Orientation,Email,Event,Follow-up Date,Geographic Focus,Geographic Focus (Enhanced),HQ Country,Impact Evidence URL,Instrument Type,Investment Approach,Investment Areas,Investment Thesis,Investor Type,Last Verified,MENA Experience,Next Action,Notes,Organization LinkedIn URL,Outreach Priority,Phone,Portfolio Examples,Position,Previous Aquaculture Investments,Priority Score,Regions Open to Explore,Research Sources,Saudi Evidence,Saudi Experience,Saudi Focus,Secondary Contact LinkedIn,Secondary Contact Name,Secondary Contact Title,Source,Stage Focus,Stage of Communication,Subsector Focus,Target Sector,Technical Expertise in RAS,Ticket Size,Typical Ticket Size (USD Million),Value-Chain Focus,Website
Nomura Greentech,N/A - Investment bank (advisory only),,High - Infrastructure and sustainability focus,,High Priority,,,Very High - Explicitly seeking co-investment,0,,,David Verbitsky,Head of AgTech & Sustainable Food,No,mailto:info@nomuragreentech.com,Blue Food Innovation Summit London,"October 30, 2025",Global,,United States (New York),,Equity,"Investment banking advisory - NOT A DIRECT INVESTOR. Nomura Greentech is the sustainable infrastructure investment banking arm of Nomura. Founded 2009. Provides M&A advisory, capital raising, restructuring, and project finance advisory services. Focus on alternative energy, cleantech, sustainable infrastructure, and ESG sectors. Does not invest its own capital - acts as intermediary/advisor connecting capital providers with companies/projects. May have attended conference to source deal flow and meet potential clients (companies seeking capital) rather than to deploy capital. For aquaculture SPV: potential advisor for capital raising, not equity investor. Could help structure financing, identify investors, or advise on M&A transactions. Fee-based advisory services.","Infrastructure, Sustainable Technology",Technology Focus,Private Equity,"November 6, 2025",No,Follow up on Blue Food Innovation interest,Expressed interest in co-investment opportunities alongside specialized partners,https://careers.nomura.com/Greentech,Hot Lead,+1 908 456 3388; +1 617 512 5378; +41 79 955 4012; +1 415 418 4555; +1 703 624 8705,,,"None directly, interested in sector",92,Global,,,No,,,,,Blue Food Innovation Summit,Growth/Greenfield,Initial Contact Made,,"Sustainable Technology, Clean Infrastructure",Low - Needs technical partner,$10M+,,,https://www.nomuragreentech.com
Pension Fund Association,$92 billion (¥12.5 trillion),,,Indirect,Investment,,,Medium - Conservative institutional co-investor,0,,,,,No,,Global AgInvesting Asia,"October 30, 2025",Asia,,Japan (Tokyo),,Fund of Funds/Co-investment,Pension fund asset allocation - One of Japan's largest pension funds managing assets for those who withdrew from corporate pension plans. Invests via external asset managers across domestic/international markets. Conservative long-term approach. Not a direct project investor - allocates to funds.,"Agriculture, Aquaculture, Food Systems",,Pension Fund,,No,Schedule immediate meeting,Global AgInvesting Asia participant,,Cold Prospect,,"15.9% domestic equities, 25.3% foreign equities, 37.8% domestic bonds, 21.1% foreign bonds",,Limited - Japanese pension fund association. May have indirect exposure via agriculture infrastructure or alternative asset allocations to member funds,90,Global,,,No,,,,,Global AgInvesting Asia,Conservative/Established,Initial Contact,,,,$20M-$100M,,,https://www.pfa.or.jp/english/
Pension Fund of Japanese Corporations,,,,Indirect,Investment,,,Medium - Conservative institutional co-investor,0,,,,,No,,Global AgInvesting Asia,"October 30, 2025",Japan/Asia,,Japan,,,Corporate pension fund - Japanese corporate pension fund for employees of Japanese corporations. Similar structure to PFA. Invests through external managers across asset classes. Conservative long-term mandate. Not a direct investor in projects.,"Agriculture, Aquaculture, Food Systems",,Pension Fund,,No,Schedule immediate meeting,Global AgInvesting Asia participant,,Cold Prospect,,,,Limited - Japanese corporate pension fund. May have indirect exposure via agriculture infrastructure or alternative asset allocations,90,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Tokio Marine & Nichido Fire Insurance,$34.7 billion net premiums written (2024),,,Indirect,Investment,,,Low - Fund-of-funds approach,0,,,,,No,,Global AgInvesting Asia,"October 30, 2025","Japan, Asia",,Japan (Tokyo),,,"Insurance company portfolio allocation - Major Japanese property and casualty insurer (part of Tokio Marine Holdings). Net premiums written $34.7B (2024). Overseas business now contributes ~50% of revenue. Conservative institutional investor allocating insurance reserves across asset classes. Reduces equity exposure through strategic holdings sales program. Invests primarily through fund-of-funds or as LP in established funds. Not a direct investor in new projects or SPVs. Requires strong institutional fund managers. If attended agriculture conference, may have dedicated alternative assets allocation but primarily passive institutional approach.","Agriculture, Aquaculture, Food Systems",,Insurance Company,,No,Schedule immediate meeting,Global AgInvesting Asia participant,https://mu.linkedin.com/company/tokio-marine-&-nichido-fire-insurance-co.-ltd.,Cold Prospect,,,,Limited - Japanese insurance company. May have indirect exposure via institutional allocations but no direct aquaculture investments,90,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Insurance/Portfolio allocation,,,,,https://www.tokiomarine-nichido.co.jp/en/
China Investment Corporation,$1.33 trillion,,,Direct,Investment,,,"Very High - Sovereign wealth fund scale, requires strong co-investors",0,,,Zhang Qingsong,Chairman,No,mailto:cc@china-inv.cn,Global AgInvesting Asia,"November 3, 2025","China, Asia, Global",,China (Beijing),,Equity/Infrastructure,"Strategic diversified investments - China's sovereign wealth fund managing $1.4 trillion. Invests across asset classes including private equity, infrastructure, and real assets. Focus on large-scale strategic investments. Limited transparency on new project criteria. Typically prefers established platforms but open to strategic opportunities.","Agriculture, Aquaculture, Food Systems","Diversification, Platform Strategy",Sovereign Wealth Fund,"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,https://cn.linkedin.com/company/%E4%B8%AD%E5%9B%BD%E6%8A%95%E8%B5%84%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Cold Prospect,,"48.31% alternative assets, 31.13% public equities, agriculture partnerships with COFCO",,"Limited - Chinese SWF with broad infrastructure and agriculture portfolio. May have indirect exposure via funds or agriculture platforms, but no publicly disclosed direct aquaculture investments",88,Global,,,No,,,,,Global AgInvesting Asia,Large-scale/Strategic,Initial Contact,,"Diversified (PE, Infrastructure, Real Assets)",,$50M-$500M+,,,china-inv.cn
AAM Investment Group,$1 billion (AUD),,,Indirect,Investment,,,"Low - Australian diversified agriculture fund focused on beef, sheep, cropping, poultry; not aquaculture",0,,,Garry Edwards,Managing Director,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Australia (Brisbane),,,"Diversified agriculture fund manager - Australian specialist managing $1B AUD across beef, sheep, cropping, poultry, and sustainably-sourced timber. Owner-operator model with 35 sites in 5 states. AAM Diversified Agriculture Fund (ADAF) is flagship. Not aquaculture focused.","Agriculture, Aquaculture, Food Systems",,Agricultural Fund Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"35 sites across beef cattle, sheep, cropping, poultry, sustainable timber. Regional Livestock Exchange network.",,Limited - Agricultural fund manager attending GAI Asia; may have indirect exposure via farmland portfolios or agribusiness funds,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Diversified Agriculture (beef, sheep, cropping, poultry)",,$20M-$100M,,,aamig.com.au
Daiwa JPI Alternative Investments,,,,Indirect,Investment,,,Medium - Alternative asset platform with agriculture mandate; Japanese institutional focus but some international capacity,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Alternative asset management platform - Part of Daiwa Securities Group's alternative investments division (Tokyo). March 2025 alliance with Mitsui and Japan Post Insurance created integrated platform. Manages private equity, real estate, and agriculture investments. Daiwa parent also has agriculture operations (20% share of Japan bell pepper market). Focus on Japanese institutional investors with some international mandate.","Agriculture, Aquaculture, Food Systems",,Alternative Asset Manager (Part of Daiwa Securities),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Alternative asset manager (part of Daiwa Securities). May have indirect exposure via Japanese agriculture funds,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Agriculture, Alternative Assets",,,,,daiwa-grp.jp
Sumitomo Mitsui Trust Bank,$75+ trillion (Sumitomo Mitsui Trust Group),,,Indirect,Investment,,,Medium - Large institutional investor; prefers LP/fund positions over direct SPV investment but has agriculture mandate,0,,,Yoshio Hishida,"President, Sumitomo Mitsui Trust Asset Management",No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Trust bank asset management - Major Japanese trust bank managing institutional portfolios. Focus on real assets and agriculture funds. Invests as LP in funds or through co-investments. Conservative approach. Not direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Trust Bank/Asset Manager,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"Natural capital investments, TNFD member, ESG/sustainability focus",,Limited - Major Japanese trust bank with asset management division. May have indirect agriculture exposure via institutional funds,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,$20M-$100M+,,,smtg.jp
Alternative Investment Capital,,,,Direct,Investment,,,Medium - Acts as intermediary to institutional allocators,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Insufficient information - Unable to locate reliable information about this organization. May be incorrectly named, private entity, or data entry error. Recommend verification of organization name and details.","Agriculture, Aquaculture, Food Systems",,Unknown - Insufficient Data,"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,Unknown - Limited information available on entity and investment track record. Conference attendance suggests agriculture interest,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Unknown - Insufficient data,,,,,https://www.aicapital.co.jp
"Rating and Investment Information, Inc.",,,,Indirect,Investment,,,"None - Credit rating agency, does not invest capital",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Credit rating services - R&I is Japan's largest credit rating agency, NOT an investment firm. Provides credit ratings, research, and ESG assessments. Does not invest capital or manage funds. Likely listed in error.","Agriculture, Aquaculture, Food Systems",,Credit Rating Agency (NOT AN INVESTOR),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,None - Japanese credit rating agency (R&I). Not an investor; provides credit ratings and research services,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,r-i.co.jp
AgIs Capital,$500M+ (permanent crop farmland),,,Indirect,Investment,,,Low - Farmland investor focused on permanent crops in water-rich regions; not aquaculture aligned,0,,,Jeff Conrad,CEO,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,United States (Boston),,,"Farmland investment manager - Institutional farmland investment firm focused on permanent crops (almonds, pistachios, wine grapes, citrus) in California and other water-rich regions. Direct ownership and operation model. Leading Harvest certified. Not aquaculture focused.","Agriculture, Aquaculture, Food Systems",,Agricultural Investment Fund (Farmland),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"Permanent crops (nuts, wine grapes, citrus), water-rich farmland assets",,Limited - Farmland investment fund; may have indirect exposure via integrated agribusiness operations but no direct aquaculture focus,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Permanent Crop Farmland (almonds, pistachios, wine grapes, citrus)",,$25M-$100M,,,agiscapital.com
Terrasias Capital,,,,Indirect,Investment,,,Low - Single family office with limited information; not suitable for institutional co-investment,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan,,,Single family office - Terrasias Capital appears to be a private single-family office with minimal public information. Not an institutional investor. Possibly confused with Terratai (Asia nature-focused VC) or Terra Global Capital (NBS/carbon). Not suitable for institutional fundraising.,"Agriculture, Aquaculture, Food Systems",,Single Family Office (NOT INSTITUTIONAL),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Unknown - Single family office attending GAI Asia. Limited public information; track record unclear,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,,,,
Asia Development Bank,$43+ billion (capital base),,,Indirect,Investment,,,Very High - DFI mandated to co-invest with private sector,0,,,Masatsugu Asakawa,President,Yes,,Global AgInvesting Asia,"November 3, 2025",Asia,,Philippines (Manila),,Debt/Concessional Finance,New infrastructure projects - Asian development bank financing greenfield infrastructure and food security projects across Asia. Provides concessional and commercial loans for new SPVs and development projects. Co-invests with private sector. Experienced in aquaculture projects.,"Agriculture, Aquaculture, Food Systems","Food Security, Regional Expansion",Development Finance Institution (Multilateral),"November 6, 2025",No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Hot Lead,,"Australis Holdings ($15M convertible note, Vietnam barramundi), ABIS Exports India ($16M, fish feed), Thai Union (blue loan), Indonesia shrimp farming ($93M)",,"Extensive - Multiple aquaculture projects across Asia including Vietnam, India, Thailand, Indonesia, Cambodia",88,Global,,,No,,,,,Global AgInvesting Asia,Greenfield/Infrastructure,Initial Contact,,"Infrastructure, Agriculture, Food Security (Asia-Pacific)",,$15M-$100M+,,,adb.org
Boardwalk Capital,,,,Indirect,Investment,,,"Medium - Hong Kong alternative investment platform (Artorius Group network) attending GAI Asia to find opportunities for Asian institutional clients. Provides fund-of-funds and co-investment access to sophisticated investors. Can facilitate introductions to Asian family offices, pension funds, and institutional allocators exploring agriculture real assets. Online portal for investment administration. Not direct co-investor but valuable for accessing Asian institutional capital and HNW investors.",0,,,Management team (not publicly disclosed),,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Hong Kong,,,"Alternative investment advisory and fund placement firm based in Hong Kong/Asia. Helps institutional investors access alternative investments including real assets. Fund-of-funds and co-investment approach. Part of Artorius Group network. Not a direct investor in new projects or SPVs. Provides advisory and distribution services connecting sophisticated investors with alternative investment opportunities. Focus on origination, sourcing, execution support, and ongoing investment administration through online portal.","Agriculture, Aquaculture, Food Systems",,Bank/Investment Fund,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Bank/investment fund with agriculture focus. May have debt exposure to aquaculture but no confirmed equity investments,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Alternative investment advisory and fund placement,,,,,
Japan Post Bank,$180+ billion (¥20+ trillion),,,Indirect,Investment,,,Low - Conservative postal bank; prefers LP positions in established funds over direct project investment,0,,,Ikuo Nodera,President & CEO,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan (Tokyo),,,Institutional portfolio allocation - Major Japanese postal bank managing conservative portfolios. Invests as LP in established funds or through co-investments. Conservative approach focused on capital preservation. Not a direct investor in new projects.,"Agriculture, Aquaculture, Food Systems",,Bank/Institutional Investor,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,,,Limited - Major Japanese postal savings bank. May have indirect exposure via Japanese agriculture/food security funds but no direct aquaculture investments,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,,,$20M-$100M,,,jp-bank.japanpost.jp
Energy & Environment Investment Inc.,$100M+ (estimated),,,Indirect,Investment,,,"Low - Clean energy VC focus, not agriculture or aquaculture aligned",0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Asia,,Japan (Tokyo),,,"Japan clean energy VC - Venture capital firm exclusively focused on environment and energy sectors since 2006. Invests in renewable energy, energy transition, cleantech startups. Portfolio includes RENOVA (IPO 2017), VPP Japan, Sharing Energy. Not agriculture focused.","Agriculture, Aquaculture, Food Systems",,Venture Capital (Clean Energy),,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,,,"RENOVA (renewable energy, IPO 2017), VPP Japan, Sharing Energy, Clean Energy Connect",,Limited - Clean energy VC. May have evaluated aquaculture as sustainable food tech but no confirmed investments,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,"Clean Energy, Renewable Energy",,,,,ee-investment.jp
Investment Excellence Japan,,,,Indirect,Networking,,,Medium - Can connect to institutional allocators,0,,,,,No,,Global AgInvesting Asia,"November 3, 2025",Japan/Asia,,Japan,,,Investment advisory services - Japanese investment advisory firm serving institutional clients with fund selection and portfolio construction. NOT a direct investor. Helps institutions access alternative investment funds. Advisory and consulting services only.,"Agriculture, Aquaculture, Food Systems",,Advisory Firm,,No,Send detailed investment memorandum,Global AgInvesting Asia participant,,Cold Prospect,,,,None - Advisory firm serving institutional investors. Does not make direct investments,88,Global,,,No,,,,,Global AgInvesting Asia,,Initial Contact,,Investment Advisory (not direct investor),,,,,
